Artist,Title,Date,Period,Description,Material,Collection,Classification,Signature,Accession Number,link,Dimensions,Subject,Alternative Title
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1960,20th century; 1960s,"Grey wash landscape, two black figures in foreground.",paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style),Signed and dated on the bottom centre.,EU0143,https://collections.ed.ac.uk/art/./record/373?highlight=*:*,17.8x26.6 cm,NA,NA
Mohamed Ounouh (b.1964),Untitled (birds' feet),1991,20th century; 1990s,"tribal abstract with thick black lines, a central green square with red outline and black stripes pointing down, while one diagonal stripe, formed as a birds' foot brings itself to the centre of the square.",acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,NA,EU1020,https://collections.ed.ac.uk/art/./record/20188?highlight=*:*,NA,abstract,NA
Mohamed Ounouh (b.1964),Untitled (fork with blue triangle),NA,20th century,"abstract, tribal with thick black lines creating several spaces and figures.",acrylic paint/paint (coating),Art Collection,Abstract (fine arts style); acrylic; paintings 1901-2000; geometric patterns,NA,EU1026,https://collections.ed.ac.uk/art/./record/20194?highlight=*:*,NA,abstract,NA
Mohamed Ounouh (b.1964),Untitled (red arrowhead),1991,20th century; 1990s,abstract tribal with forms in thick black lines and patches of colour against a pale background.,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,signed and dated bottom left hand corner,EU1036,https://collections.ed.ac.uk/art/./record/20204?highlight=*:*,NA,abstract,NA
Robert S. Crozier,Grey Landscape,1962,NA,"Landscape in grey tones with dark hills in the background, abstarct images in the middle ground and fields and a treestump in the foreground.",oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection,Abstract (fine arts style); figures (representations); hills; paintings (visual works); oil paintings (visual works); paintings 1901-2000,NA,EU4795,https://collections.ed.ac.uk/art/./record/99797?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1975,20th century; 1970s,abstract black wash,paper (fibre product); ink/coating (material)/materials (substances); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); paintings (visual works); watercolours (paintings),Signed and dated.,EU0171,https://collections.ed.ac.uk/art/./record/646?highlight=*:*,5834x78.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Red Spring,1958-1959,20th century; 1950s,"Mainly brick red with black, green shape extreme left.",canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0120,https://collections.ed.ac.uk/art/./record/421?highlight=*:*,80.7x139.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract (HS 49),NA,20th century,Abstract wash in brown and turquoise,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),Signed in monogram.,EU0149,https://collections.ed.ac.uk/art/./record/590?highlight=*:*,16.4x11.4 cm,NA,NA
Unknown,Grey Cover,NA,NA,NA,paper (fibre product); oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3188,https://collections.ed.ac.uk/art/./record/22633?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract wash in pale dusky pink,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Indistictly in monogram.,EU0152,https://collections.ed.ac.uk/art/./record/594?highlight=*:*,75.6x55.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract wash in red and black,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings),Signed in monogram.,EU0161,https://collections.ed.ac.uk/art/./record/609?highlight=*:*,77.4x55.9 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,NA,Abstract red and black wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in monogram.,EU0155,https://collections.ed.ac.uk/art/./record/465?highlight=*:*,75.6x55.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1978,20th century; 1970s,Abstract black wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in monogram and dated.,EU0157,https://collections.ed.ac.uk/art/./record/658?highlight=*:*,77.5x58.4 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1978,20th century; 1970s,NA,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in monogram.,EU0154,https://collections.ed.ac.uk/art/./record/497?highlight=*:*,58.4x78.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",In a Chinese Garden,NA,20th century,"Abstract watercolour wash in dusky orange, acid yellow and green",watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),NA,EU0144,https://collections.ed.ac.uk/art/./record/470?highlight=*:*,31.7x24.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Portrait of Hope Scott,1975,20th century; 1970s,Background of pale blues merging into copper tones with white block figure in centre,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); portrait; paintings 1901-2000; figures (representations); Abstract (fine arts style),"Signed and dated on reverse and inscribed ''For Hope, christmas 1975, Love William''",EU0114,https://collections.ed.ac.uk/art/./record/539?highlight=*:*,59x49 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Morning Haar,1971,20th century; 1970s,Pale watery wash with beige and sky blue with orange circle centre top,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),On reverse,EU0110,https://collections.ed.ac.uk/art/./record/391?highlight=*:*,63.5x76.2 cm,NA,NA
"William Gear (b.1915, d.1997)",Yellow Structure,1988,20th century; 1980s,red and dark blue stripes roughly against a bright yellow background.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); paper; prints (visual works); print 1940-2000,signed and dated lower right hand corner,EU1123,https://collections.ed.ac.uk/art/./record/20290?highlight=*:*,NA,abstract,NA
Roger Elliot,Untitled - Abstract Blue and Green Squares,1994,20th century; 13,"Abstract oil painting on cardboard applied thickly and roughly, of various squares and rectangles in greens, blues, and blacks.",oil paint (paint)/paint (coating); wood board/plant material/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; oil paintings (visual works),'WP90 14' - written under old accession number.,EU4225,https://collections.ed.ac.uk/art/./record/99461?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Fragments of Experience,1979,20th century; 1970s,"Pale blue, yellow, orange and black 'wash'",oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Hope Scott Collection; Art Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0121,https://collections.ed.ac.uk/art/./record/422?highlight=*:*,134x243.8 cm,NA,NA
Willie Rodger (b.1930),The Hostages,1967,20th century; 1960s,Abstract image in black and silver grey,paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); geometric patterns; prints (visual works); linocuts (prints); print 1940-2000,NA,EU0496,https://collections.ed.ac.uk/art/./record/19669?highlight=*:*,NA,NA,NA
Mohamed Ounouh (b.1964),Untitled (two panels),NA,NA,two panels of abstract tribal work with thick black lines creating geometrical shapes on a blurry pastel background,acrylic paint/paint (coating),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,NA,EU1025,https://collections.ed.ac.uk/art/./record/20193?highlight=*:*,NA,abstract,NA
