ID,quality_police,quality_sheriff,quality_fire,quality_ems,quality_maintenance_streets,quality_travel_ease,quality_public_transport,quality_bike_path,quality_ped_path,quality_water_sewer,quality_parks_rec,quality_library,quality_pub_school,quality_of_life
5727,9,9,9,9,4,3,5,1,1,1,3,5,9,9
5731,4,4,4,4,2,2,1,9,1,4,9,4,4,4
5733,4,9,9,9,1,2,9,9,9,1,9,9,9,1
5742,4,9,4,9,4,4,9,9,2,4,4,4,3,4
5743,3,3,4,9,1,2,9,9,9,3,3,3,2,2
5755,4,4,4,9,3,4,3,2,4,4,3,4,2,4
5758,5,5,5,5,2,1,2,4,1,4,9,3,3,4
5761,5,5,5,5,1,4,4,5,5,5,5,5,3,5
5762,3,3,4,4,4,4,9,2,2,4,3,3,4,5
5763,3,3,3,4,2,3,3,3,3,3,3,4,3,3
5764,4,4,4,9,1,4,9,2,2,2,3,3,2,4
5779,4,4,4,5,2,4,4,4,4,4,4,4,4,4
5782,2,3,5,5,4,4,4,9,4,3,4,4,2,3
5801,5,5,5,4,3,2,2,4,1,3,3,4,3,3
5804,4,4,9,9,2,3,3,4,3,4,3,3,2,4
5807,2,4,4,4,2,2,3,3,3,4,2,4,1,4
5809,4,3,3,3,4,4,2,2,2,4,4,4,3,5
5810,5,5,5,9,4,4,9,4,4,4,4,9,9,5
5819,3,3,4,4,1,3,3,4,1,1,3,4,1,1
5821,5,5,5,5,4,4,5,2,2,3,5,5,4,3
5825,3,3,4,4,4,5,9,4,3,4,5,5,9,4
5832,3,3,4,9,4,3,2,2,3,4,4,5,4,4
5835,4,4,5,4,5,5,3,3,4,4,3,3,2,4
5838,3,3,3,3,2,2,9,1,2,2,2,2,2,3
5848,4,4,5,5,3,4,4,3,3,4,4,3,5,4
5850,4,4,3,3,2,4,9,4,4,4,3,3,3,4
5867,3,3,3,9,2,2,9,9,2,3,9,9,9,4
5874,4,4,4,9,3,3,9,9,9,4,9,9,9,4
5877,5,5,5,5,5,4,2,3,2,4,5,5,9,5
5878,5,5,5,5,5,4,9,2,3,5,3,3,1,2
5879,4,9,4,9,2,1,1,2,2,3,2,3,3,3
5881,3,4,4,3,4,4,9,9,2,4,4,4,3,5
5882,2,3,4,4,2,3,3,4,4,4,4,4,4,4
5883,4,4,4,9,3,4,9,2,3,4,3,5,9,5
5884,5,5,5,4,3,4,9,9,9,4,3,4,4,4
5885,1,1,3,3,2,2,3,3,3,3,3,5,1,2
5886,4,4,4,5,4,4,9,3,4,4,3,4,1,3
5887,3,3,3,3,2,2,3,2,2,4,4,5,2,4
5889,4,4,4,5,4,4,9,9,9,4,4,4,3,5
5890,2,2,4,4,2,4,4,4,4,1,4,4,4,4
5891,3,3,3,3,2,2,9,9,3,4,9,9,9,3
5892,1,9,3,9,2,2,9,3,3,3,1,3,2,4
5893,5,5,5,5,5,5,4,5,5,3,5,5,3,5
5894,4,4,4,4,1,2,3,3,3,4,4,4,3,3
5896,3,3,9,9,3,4,4,4,4,4,9,9,3,4
5897,4,4,4,9,3,3,1,1,1,4,3,5,9,2
5899,1,3,4,4,1,3,3,4,2,3,4,3,2,1
5900,3,3,3,5,4,4,9,2,2,4,2,4,2,4
5901,4,4,4,4,2,4,3,4,4,4,4,4,2,3
5903,5,5,5,9,4,4,9,9,9,4,4,5,9,4
5904,2,2,4,4,2,2,3,4,2,4,4,5,1,2
5905,9,9,9,9,5,4,4,4,4,9,9,9,9,5
5907,2,3,4,9,1,1,9,4,3,4,3,3,9,4
5908,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5920,2,9,9,9,1,1,9,3,3,3,4,4,4,1
5926,4,4,4,4,2,2,3,3,3,3,3,3,3,2
5929,1,1,2,3,1,1,1,1,9,9,9,3,9,3
5934,9,9,9,9,9,9,9,9,9,9,9,4,4,9
5940,9,9,5,9,2,5,5,9,3,4,9,4,9,3
5944,4,4,5,5,4,4,9,9,9,5,9,4,3,4
5947,3,3,3,4,2,2,3,2,3,3,2,3,2,4
5948,1,3,3,3,3,2,2,2,4,3,3,3,3,1
5949,5,2,1,4,3,4,5,5,4,3,2,3,5,5
5950,4,3,3,3,2,1,1,1,1,1,2,2,1,2
5952,4,4,4,4,3,4,3,3,4,4,4,4,4,5
5953,3,3,4,9,5,5,2,2,2,4,3,5,2,3
5954,4,4,4,9,1,1,2,2,2,4,3,4,2,4
5955,4,9,9,4,1,3,9,2,1,4,2,9,2,4
5957,4,4,4,4,2,2,9,9,9,2,3,3,3,4
5958,3,3,3,3,1,2,9,9,9,3,2,9,1,4
5962,3,3,4,4,4,4,9,9,1,4,4,4,4,4
5963,4,4,4,4,4,4,4,4,3,3,5,5,4,4
5965,4,9,4,4,3,3,9,3,2,2,9,3,9,4
5966,4,3,5,5,2,2,3,2,3,5,4,4,5,4
5972,4,4,4,5,2,3,9,9,2,4,4,4,9,5
5976,4,4,4,9,3,4,3,2,2,9,4,4,9,4
5983,3,3,3,9,2,2,9,3,2,2,4,5,2,4
5985,4,9,4,4,3,3,2,2,2,4,3,4,3,4
5989,3,9,9,9,3,2,9,1,1,4,2,3,2,2
5990,3,3,3,3,1,1,3,3,2,3,3,3,3,4
5993,4,4,4,5,5,5,5,5,5,4,5,5,9,5
5997,4,4,4,9,4,4,9,4,4,4,5,5,9,5
6000,4,4,4,4,4,4,4,4,4,4,4,4,2,4
6001,3,3,4,9,2,2,4,4,3,3,2,4,3,4
6004,3,3,4,9,1,4,9,3,3,5,3,4,4,4
6007,4,4,5,4,2,3,9,9,3,2,4,4,9,4
6014,3,9,9,9,4,5,9,4,3,4,4,3,2,4
6016,3,3,9,9,9,2,9,2,9,9,9,3,2,4
6020,4,9,3,9,3,3,3,3,3,4,3,9,2,5
6021,4,4,4,5,2,4,3,3,5,5,4,2,2,4
6024,4,4,4,4,4,1,9,9,3,4,4,4,2,4
6027,3,3,3,3,3,3,3,3,3,3,3,3,3,4
6028,3,3,3,9,1,2,9,9,2,2,2,3,1,3
6030,2,3,9,9,2,3,1,1,1,3,4,4,9,4
6031,4,3,4,5,3,2,9,9,1,5,9,5,1,4
6038,3,3,3,4,2,3,3,3,3,3,3,3,2,4
6043,4,9,4,5,4,4,9,3,2,5,9,9,9,4
6044,4,4,4,9,4,3,4,4,3,4,4,5,2,5
6045,3,9,9,9,2,2,9,9,2,1,9,4,1,1
6047,3,3,4,5,3,2,2,2,2,4,4,4,2,4
6048,9,9,9,9,3,1,1,9,1,9,4,4,1,4
6049,3,3,4,3,2,2,2,2,2,3,9,4,9,4
6057,5,5,5,5,5,5,5,5,5,5,5,3,5,5
6061,2,3,3,3,4,3,3,2,2,2,2,3,2,3
6069,3,3,9,4,2,3,3,4,4,4,3,4,3,3
6070,5,5,9,9,3,4,9,4,4,4,4,5,3,1
6072,4,4,4,4,4,9,9,4,3,3,4,9,3,4
6073,3,3,5,5,2,3,3,2,2,4,4,5,1,2
6075,2,2,3,4,2,2,3,4,3,4,4,5,4,3
6076,4,4,4,9,4,4,9,4,4,4,4,9,9,5
6078,4,4,4,5,4,4,3,9,4,4,9,3,2,5
6079,4,4,5,5,3,3,3,4,4,5,4,4,9,4
6082,3,3,4,4,4,4,3,3,4,4,4,4,4,4
6087,5,4,5,5,3,5,9,9,3,5,3,9,4,5
6088,9,3,3,4,4,4,4,4,9,9,4,4,9,2
6089,4,4,9,3,2,3,3,2,2,2,3,4,3,3
6092,3,3,9,4,3,4,9,9,2,9,9,9,9,3
6096,4,4,4,4,3,4,9,3,2,4,4,4,9,5
6098,4,4,5,4,3,2,9,4,2,4,3,4,3,5
6100,4,4,4,9,4,4,2,9,9,4,3,9,4,4
6102,4,3,3,4,3,3,9,9,3,3,3,4,9,5
6103,3,3,4,9,1,2,1,3,3,2,4,5,1,4
6105,3,3,9,9,4,4,9,9,4,4,9,5,9,4
6106,4,4,4,3,4,5,5,4,3,2,4,9,3,5
6110,4,4,4,4,1,2,9,4,4,4,5,5,9,5
6112,2,9,9,9,5,5,9,9,5,5,4,9,3,5
6115,4,4,9,4,3,4,9,5,4,4,9,9,9,4
6116,4,4,5,5,4,4,4,4,4,4,4,4,4,4
6117,3,3,3,3,2,2,9,9,3,3,3,3,9,4
6119,9,9,9,9,9,9,9,9,9,9,4,4,9,4
6120,4,2,4,4,2,2,9,4,1,4,4,5,2,5
6124,4,4,4,9,2,3,9,3,2,4,9,2,1,5
6125,4,4,4,9,3,3,3,4,4,4,5,5,9,4
6127,3,3,3,3,2,2,3,4,3,3,4,9,9,3
6129,3,3,4,4,1,2,9,9,2,4,3,4,9,5
6138,4,3,4,9,3,3,2,9,4,4,4,4,3,3
6145,4,4,3,3,3,4,3,2,3,4,3,4,3,3
6147,3,3,4,4,3,3,3,3,2,4,4,4,2,5
6151,3,3,4,3,4,4,9,9,4,5,4,4,5,5
6152,5,4,5,5,5,3,3,3,3,5,5,5,4,5
6155,3,3,3,9,1,1,1,2,2,9,1,5,3,4
6156,5,5,5,9,1,1,4,2,3,5,4,5,9,5
6157,4,4,4,4,2,2,4,2,2,2,4,5,3,5
6160,4,4,4,9,3,4,9,4,4,4,9,9,9,5
6161,5,5,5,5,3,4,9,9,9,5,4,5,5,4
6163,5,9,5,5,4,5,9,4,4,5,5,5,5,4
6164,9,9,9,9,3,4,3,3,3,4,3,4,9,4
6165,4,4,5,4,2,3,9,2,9,3,3,4,3,5
6171,4,4,4,4,2,3,3,4,4,4,4,5,9,5
6172,4,4,4,9,2,2,9,2,2,3,3,4,9,5
6173,5,5,5,4,4,4,3,3,3,3,3,3,9,4
6174,4,9,9,9,2,2,9,3,3,5,3,4,3,4
6175,4,4,3,9,2,3,3,4,3,2,4,9,9,4
6176,4,4,5,5,3,3,9,9,1,4,4,4,4,5
6177,3,9,9,9,2,3,9,9,2,3,9,5,9,2
6180,3,3,3,3,4,2,3,3,4,4,3,3,3,5
6182,5,5,5,5,3,4,4,2,1,3,3,3,4,5
6183,4,4,9,9,3,3,4,4,3,4,4,5,9,5
6186,5,9,5,9,4,4,4,5,5,5,5,5,2,5
6189,4,3,3,3,1,2,3,2,4,5,5,5,3,5
6191,3,3,3,4,2,9,9,2,2,3,4,5,9,4
6192,4,4,9,4,3,3,1,2,2,4,4,4,2,4
6196,4,4,4,4,4,2,3,4,2,4,4,4,3,4
6197,2,9,9,4,1,3,1,1,1,2,1,3,9,1
6201,5,5,9,9,2,4,9,9,9,4,3,9,3,5
6202,5,5,5,5,5,5,9,9,5,5,5,5,9,4
6203,4,4,4,4,1,4,3,5,5,5,5,5,1,1
6205,4,9,5,5,4,4,5,9,3,5,5,5,5,5
6208,4,4,4,4,3,3,5,5,1,1,5,9,4,4
6209,3,3,3,3,1,3,3,2,2,3,2,2,2,3
6213,5,5,5,5,2,3,2,5,4,5,5,5,3,5
6222,4,4,5,5,3,2,3,3,4,4,4,4,5,4
6227,2,2,5,5,3,3,3,2,3,2,3,3,1,2
6231,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6232,9,9,9,9,4,4,3,5,4,3,3,5,9,5
6237,4,9,4,4,4,3,9,9,1,4,2,3,1,3
6238,2,2,4,9,4,2,4,1,1,5,3,4,9,4
6240,4,3,4,5,3,3,3,3,3,2,3,4,3,3
6241,4,4,4,4,2,4,3,2,3,4,5,4,4,4
6242,3,3,3,4,1,2,9,9,2,4,3,4,9,5
6244,4,4,4,4,2,3,9,4,2,4,4,5,4,4
6246,4,4,4,5,3,2,1,9,4,4,2,9,1,4
6247,5,4,3,3,2,2,9,9,4,5,9,3,9,4
6248,4,3,9,9,2,3,3,3,2,3,3,4,9,5
6249,4,4,9,9,4,3,9,3,3,4,4,9,3,4
6250,4,4,5,4,2,3,4,5,4,2,4,5,2,5
6252,5,5,9,4,4,9,3,3,4,5,2,2,4,2
6254,9,9,9,9,4,4,1,9,4,4,4,5,9,5
6255,1,1,4,9,4,4,9,9,1,4,2,5,2,4
6256,2,2,4,4,2,3,3,4,4,4,4,3,3,2
6258,9,9,4,9,3,4,9,9,9,4,4,9,9,4
6262,3,3,5,5,2,4,4,4,4,5,4,4,4,3
6264,4,4,4,5,3,2,9,3,2,2,3,4,3,5
6265,5,4,5,5,3,5,5,5,5,5,5,5,5,4
6266,4,4,4,4,9,4,9,4,4,4,4,4,2,4
6267,5,5,9,9,2,4,3,1,2,5,5,5,9,4
6270,9,9,9,9,9,4,2,9,2,9,9,9,1,5
6272,4,4,4,9,2,4,4,4,4,4,4,4,2,4
6273,4,3,4,4,1,2,2,4,4,4,4,9,9,4
6274,9,9,9,9,3,3,9,3,4,4,4,9,1,3
6276,5,5,5,5,3,2,4,3,3,3,4,4,3,4
6278,4,4,4,4,3,4,3,3,3,3,3,4,3,3
6279,4,4,4,9,4,1,3,1,5,5,3,4,9,4
6280,4,4,9,4,3,3,3,3,3,2,4,3,2,5
6283,3,3,3,3,2,3,3,3,3,3,2,2,2,3
6284,5,5,5,5,5,5,5,4,4,4,4,4,4,4
6285,4,9,5,9,4,2,1,2,2,4,4,2,1,5
6286,4,4,4,9,4,9,9,3,4,2,4,4,2,2
6287,3,9,4,4,2,9,9,4,4,4,4,4,3,3
6288,4,4,5,5,4,3,9,5,4,1,4,4,9,5
6290,5,9,9,9,4,4,3,4,3,4,4,5,9,4
6292,4,4,4,4,2,2,9,9,9,2,2,4,1,2
6293,9,9,9,9,2,4,2,1,1,4,4,5,5,4
6294,4,4,4,4,4,4,3,3,4,4,4,4,3,4
6297,3,3,9,9,1,3,2,1,2,3,4,9,3,4
6299,3,3,4,3,2,3,3,3,4,3,3,3,3,3
6300,9,9,9,9,4,3,9,9,3,3,9,9,9,5
6301,4,4,4,9,3,2,9,3,3,3,4,4,1,2
6302,4,3,3,3,2,2,3,2,1,2,3,3,2,3
6303,3,2,4,3,3,3,4,3,3,2,3,4,4,5
6305,4,4,5,5,2,4,2,2,2,2,2,5,1,4
6306,4,4,5,5,4,3,4,2,2,4,4,5,3,4
6307,4,3,3,3,2,3,9,9,3,4,2,3,1,5
6308,4,4,5,5,3,3,9,4,4,4,4,5,3,5
6309,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6310,1,4,4,4,5,3,3,4,4,4,4,4,4,4
6312,5,5,5,9,2,4,9,4,3,2,9,5,9,5
6313,4,4,4,4,2,1,3,3,2,3,4,4,9,4
6314,3,3,3,3,1,2,4,3,2,1,9,3,3,4
6316,3,3,3,9,2,2,1,1,1,3,4,1,1,4
6317,4,3,4,3,1,2,4,2,2,3,2,4,2,2
6319,3,3,4,4,4,2,2,1,1,3,4,4,9,3
6320,3,2,4,9,1,4,9,5,4,4,4,4,3,4
6321,4,4,4,5,3,4,3,3,3,4,4,4,3,4
6324,3,3,3,3,2,2,9,4,4,5,4,4,2,4
6325,3,9,4,4,1,2,9,9,2,1,9,9,2,2
6326,5,5,5,3,4,4,1,3,4,3,5,9,9,5
6327,4,9,5,9,2,4,4,2,3,4,4,3,9,5
6328,3,5,1,3,2,1,3,9,1,2,2,1,1,5
6329,9,9,9,9,4,4,2,3,5,4,4,9,9,4
6330,4,5,9,9,1,1,9,1,1,1,1,9,9,5
6331,1,5,9,5,1,5,5,5,5,5,4,5,9,5
6332,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6333,4,4,4,4,2,3,3,4,4,4,4,4,4,4
6334,3,3,9,9,9,9,9,9,9,9,9,9,9,9
6335,5,4,4,4,3,3,4,4,3,4,3,3,3,5
6336,3,3,4,9,1,3,9,9,4,9,4,5,9,4
6337,3,3,4,4,4,2,2,9,9,9,4,4,4,5
6339,3,4,4,4,4,4,2,4,3,4,3,4,1,5
6340,4,4,4,4,2,2,3,4,2,4,4,4,2,5
6341,5,5,5,5,3,3,4,3,5,5,5,5,9,5
6342,3,3,4,4,3,4,3,3,3,4,3,3,3,3
6343,4,3,3,3,4,4,3,2,4,4,3,4,2,4
6345,2,9,5,5,2,2,3,3,2,4,3,3,1,4
6346,3,3,3,3,1,2,3,3,3,5,3,3,1,4
6351,4,9,4,4,4,3,9,3,3,3,9,9,9,9
6352,3,3,4,9,1,2,9,9,2,3,2,4,1,5
6355,3,9,4,4,3,2,9,9,2,4,9,9,9,3
6362,4,4,5,5,3,3,3,4,5,5,3,5,4,2
6364,4,3,3,9,3,3,9,9,9,4,9,3,4,5
6366,4,4,4,3,1,3,9,9,2,2,3,2,4,3
6367,5,5,5,5,5,5,3,3,4,5,5,5,5,5
6368,1,1,4,4,5,9,9,9,3,1,5,4,3,1
6369,4,2,5,9,2,2,1,2,2,3,4,4,3,4
6370,2,1,4,9,2,2,1,2,1,5,5,3,3,4
6371,3,3,4,9,2,2,2,2,3,3,4,9,9,4
6372,3,9,2,9,1,3,4,3,2,3,4,5,3,4
6373,3,3,4,4,3,3,4,3,3,4,4,4,3,3
6374,5,5,5,5,5,5,5,5,5,5,5,4,5,4
6376,4,4,5,9,1,5,4,3,4,5,5,5,9,3
6377,3,3,3,3,2,3,3,2,2,4,3,5,2,4
6378,4,4,4,3,3,4,3,2,1,4,4,3,3,4
6380,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6381,3,3,4,4,2,3,4,3,2,9,4,5,2,2
6383,4,4,4,9,4,4,4,5,5,4,5,4,4,4
6384,9,9,9,9,4,2,2,3,4,5,4,9,9,5
6385,4,9,4,5,1,2,3,4,3,4,3,9,4,4
6386,3,3,3,3,3,3,3,9,2,3,3,3,1,3
6387,4,3,5,9,4,5,9,4,3,2,3,5,4,5
6388,4,3,9,9,3,3,2,2,4,4,4,3,9,3
6389,2,4,4,4,1,4,4,3,2,9,9,3,1,9
6390,3,3,9,9,2,4,9,4,4,4,4,9,9,4
6391,4,4,4,9,4,4,9,9,3,4,4,4,9,4
6392,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6393,5,5,5,9,4,4,9,4,4,5,5,4,9,5
6395,4,4,4,9,4,4,4,4,3,3,4,5,3,4
6397,4,4,4,9,4,4,3,3,2,3,4,2,9,3
6398,1,9,9,9,3,2,2,2,2,4,9,5,9,1
6399,4,4,4,9,1,1,9,9,2,4,5,4,1,4
6402,5,5,5,5,5,5,5,5,4,5,5,5,5,5
6404,3,3,4,4,2,3,9,4,4,4,4,4,2,2
6408,2,1,1,3,1,1,3,3,3,3,3,3,2,3
6409,3,3,3,9,2,2,9,3,4,4,4,3,9,5
6410,9,9,9,9,4,9,3,2,4,9,4,9,9,4
6411,3,3,4,5,1,1,3,1,1,4,3,4,4,3
6412,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6413,4,4,4,3,3,4,9,3,2,4,2,4,2,3
6416,5,5,5,4,4,4,4,3,3,4,4,9,4,4
6418,4,9,9,9,4,2,4,2,5,3,4,5,3,5
6419,9,9,9,9,2,1,1,1,3,3,3,9,4,3
6420,9,9,9,4,1,3,2,5,1,3,3,5,9,5
6421,9,9,3,3,2,3,4,2,4,3,4,3,3,4
6423,4,9,4,9,3,3,9,9,3,4,3,5,9,4
6424,4,4,9,9,2,9,4,4,4,9,5,9,4,4
6425,4,3,5,4,2,3,2,1,1,3,1,1,9,1
6426,4,4,4,3,4,4,4,4,4,3,4,4,3,4
6427,3,3,4,4,2,4,3,2,2,4,3,3,2,2
6429,4,4,4,4,4,4,4,4,4,4,4,4,2,4
6430,3,4,4,3,2,1,5,3,4,4,4,1,1,4
6432,4,4,4,5,3,4,9,9,9,4,4,4,4,4
6433,4,3,9,9,2,3,9,3,3,4,4,4,9,4
6434,1,1,3,3,1,3,3,1,1,1,3,3,1,1
6435,3,3,3,3,2,2,2,2,3,3,3,3,3,4
6437,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6438,4,4,4,4,9,9,9,9,9,9,9,9,9,9
6439,4,4,4,4,4,4,3,3,3,3,5,9,3,4
6440,3,3,3,3,4,9,9,3,4,9,9,4,9,5
6441,9,9,9,9,3,2,2,1,2,9,3,5,3,5
6442,4,4,5,5,3,4,9,9,9,4,4,4,3,5
6444,5,9,9,5,3,1,2,1,5,5,4,2,9,4
6447,5,9,5,9,3,2,9,5,1,5,4,5,4,4
6449,4,4,5,9,4,5,9,9,5,4,4,5,9,4
6450,4,4,4,4,1,2,9,4,4,4,4,3,2,2
6451,4,4,4,5,2,4,4,5,4,4,4,5,4,2
6452,4,4,4,4,1,9,9,5,1,5,3,3,4,3
6453,4,4,4,4,1,1,9,9,3,4,9,9,9,4
6454,4,4,4,4,3,4,4,4,3,4,4,4,4,4
6456,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6457,4,9,5,9,2,2,1,2,4,5,9,9,9,5
6458,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6459,4,9,4,4,2,3,4,1,1,4,4,5,2,5
6461,3,9,3,4,3,5,3,4,3,4,4,4,3,4
6465,4,9,9,9,2,3,9,4,4,4,4,4,9,5
6467,3,3,3,3,1,1,3,3,3,2,1,1,4,3
6469,2,2,4,3,1,2,3,2,2,3,3,4,1,4
6470,4,3,4,3,2,3,4,3,4,4,4,3,2,4
6471,3,3,3,3,2,3,3,3,3,2,3,3,4,2
6474,2,9,9,9,2,1,3,2,2,4,9,4,1,3
6476,4,4,3,9,5,4,9,4,4,5,5,3,9,5
6477,9,9,9,9,4,4,9,3,1,4,9,9,9,4
6478,4,4,4,9,4,5,9,4,4,5,5,5,9,5
6479,4,3,5,9,2,2,9,2,2,4,5,5,4,5
6480,2,2,4,4,1,1,2,3,3,3,4,4,1,3
6488,4,3,3,3,1,2,9,5,2,3,3,2,1,3
6494,3,3,4,9,2,2,9,9,3,4,4,4,9,4
6506,4,4,4,9,4,4,9,4,4,4,4,5,2,2
6507,4,1,5,5,4,4,9,5,3,9,4,9,1,5
6509,9,9,9,9,4,4,2,3,3,4,4,9,9,5
6511,3,3,3,9,2,4,9,3,3,3,9,4,9,4
6512,4,4,9,9,3,2,9,5,5,4,3,3,1,4
6513,4,4,4,9,2,3,9,9,3,4,3,3,9,4
6515,4,3,5,5,3,4,9,3,4,4,5,5,9,5
6517,4,4,4,4,2,4,3,3,4,4,4,4,4,4
6520,4,4,4,4,1,1,3,3,5,3,5,5,3,5
6521,2,2,4,4,4,4,2,9,9,5,4,4,4,4
6522,9,9,9,9,2,3,9,2,3,3,4,4,9,4
6523,4,9,4,9,2,4,9,4,3,4,4,9,9,4
6524,4,4,5,5,4,3,4,4,3,5,5,5,9,5
6526,3,9,5,9,3,3,4,2,2,4,3,5,3,5
